Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,SIEMENS,37329,OPTSTK,CE,3700,SIEMENS LTD,SIEMENS APR 3700 CE,SIEMENS24APR25C3700,2025-04-24,75,0.05
NFO,nse_fo,SIEMENS,37330,OPTSTK,PE,3700,SIEMENS LTD,SIEMENS APR 3700 PE,SIEMENS24APR25P3700,2025-04-24,75,0.05
NFO,nse_fo,SIEMENS,37331,OPTSTK,CE,3700,SIEMENS LTD,SIEMENS MAY 3700 CE,SIEMENS29MAY25C3700,2025-05-29,75,0.05
NFO,nse_fo,SIEMENS,37334,OPTSTK,PE,3700,SIEMENS LTD,SIEMENS MAY 3700 PE,SIEMENS29MAY25P3700,2025-05-29,75,0.05
NFO,nse_fo,BSE,37425,OPTSTK,PE,3300,BSE LIMITED,BSE APR 3300 PE,BSE24APR25P3300,2025-04-24,125,0.05
NFO,nse_fo,NIFTY,37749,OPTIDX,CE,23000,NIFTY,NIFTY JUN 23000 CE,NIFTY26JUN25C23000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,37794,OPTIDX,PE,23000,NIFTY,NIFTY JUN 23000 PE,NIFTY26JUN25P23000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,37795,OPTIDX,CE,23000,NIFTY,NIFTY 24th DEC 23000 CE,NIFTY24DEC25C23000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,37796,OPTIDX,PE,23000,NIFTY,NIFTY 24th DEC 23000 PE,NIFTY24DEC25P23000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,37797,OPTIDX,PE,13000,NIFTY,NIFTY 24th DEC 13000 PE,NIFTY24DEC25P13000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,37799,OPTIDX,CE,23000,NIFTY,NIFTY 25th JUN26 23000 CE,NIFTY25JUN26C23000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,37802,OPTIDX,PE,13000,NIFTY,NIFTY 25th JUN26 13000 PE,NIFTY25JUN26P13000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,37805,OPTIDX,PE,23000,NIFTY,NIFTY 25th JUN26 23000 PE,NIFTY25JUN26P23000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,37806,OPTIDX,CE,23000,NIFTY,NIFTY 31st DEC26 23000 CE,NIFTY31DEC26C23000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,37810,OPTIDX,PE,23000,NIFTY,NIFTY 31st DEC26 23000 PE,NIFTY31DEC26P23000,2026-12-31,75,0.05
NFO,nse_fo,KOTAKBANK,38084,OPTSTK,CE,2460,KOTAK MAHINDRA BANK LTD,KOTAKBANK APR 2460 CE,KOTAKBANK24APR25C2460,2025-04-24,400,0.05
NFO,nse_fo,NIFTY,38150,OPTIDX,CE,29000,NIFTY,NIFTY JUN 29000 CE,NIFTY26JUN25C29000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,38151,OPTIDX,PE,29000,NIFTY,NIFTY JUN 29000 PE,NIFTY26JUN25P29000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,38152,OPTIDX,CE,29000,NIFTY,NIFTY 24th DEC 29000 CE,NIFTY24DEC25C29000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,38153,OPTIDX,PE,29000,NIFTY,NIFTY 24th DEC 29000 PE,NIFTY24DEC25P29000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,38154,OPTIDX,CE,29000,NIFTY,NIFTY 25th JUN26 29000 CE,NIFTY25JUN26C29000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,38157,OPTIDX,PE,29000,NIFTY,NIFTY 25th JUN26 29000 PE,NIFTY25JUN26P29000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,38158,OPTIDX,CE,29000,NIFTY,NIFTY 31st DEC26 29000 CE,NIFTY31DEC26C29000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,38159,OPTIDX,PE,29000,NIFTY,NIFTY 31st DEC26 29000 PE,NIFTY31DEC26P29000,2026-12-31,75,0.05
NFO,nse_fo,NIFTY,38160,OPTIDX,CE,29000,NIFTY,NIFTY 24th JUN27 29000 CE,NIFTY24JUN27C29000,2027-06-24,75,0.05
NFO,nse_fo,NIFTY,38163,OPTIDX,PE,29000,NIFTY,NIFTY 24th JUN27 29000 PE,NIFTY24JUN27P29000,2027-06-24,75,0.05
NFO,nse_fo,NIFTY,38164,OPTIDX,CE,29000,NIFTY,NIFTY 30th DEC27 29000 CE,NIFTY30DEC27C29000,2027-12-30,75,0.05
NFO,nse_fo,NIFTY,38165,OPTIDX,PE,29000,NIFTY,NIFTY 30th DEC27 29000 PE,NIFTY30DEC27P29000,2027-12-30,75,0.05
NFO,nse_fo,NIFTY,38373,OPTIDX,CE,20000,NIFTY,NIFTY JUN 20000 CE,NIFTY26JUN25C20000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,38375,OPTIDX,PE,20000,NIFTY,NIFTY JUN 20000 PE,NIFTY26JUN25P20000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,38376,OPTIDX,CE,20000,NIFTY,NIFTY 24th DEC 20000 CE,NIFTY24DEC25C20000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,38377,OPTIDX,PE,20000,NIFTY,NIFTY 24th DEC 20000 PE,NIFTY24DEC25P20000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,38378,OPTIDX,CE,20000,NIFTY,NIFTY 25th JUN26 20000 CE,NIFTY25JUN26C20000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,38380,OPTIDX,PE,20000,NIFTY,NIFTY 25th JUN26 20000 PE,NIFTY25JUN26P20000,2026-06-25,75,0.05
NFO,nse_fo,NIFTY,38438,OPTIDX,CE,21150,NIFTY,NIFTY 8th MAY 21150 CE,NIFTY08MAY25C21150,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38439,OPTIDX,PE,21150,NIFTY,NIFTY 8th MAY 21150 PE,NIFTY08MAY25P21150,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38440,OPTIDX,CE,21200,NIFTY,NIFTY 8th MAY 21200 CE,NIFTY08MAY25C21200,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38441,OPTIDX,PE,21200,NIFTY,NIFTY 8th MAY 21200 PE,NIFTY08MAY25P21200,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38442,OPTIDX,CE,21250,NIFTY,NIFTY 8th MAY 21250 CE,NIFTY08MAY25C21250,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38443,OPTIDX,PE,21250,NIFTY,NIFTY 8th MAY 21250 PE,NIFTY08MAY25P21250,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38444,OPTIDX,CE,21300,NIFTY,NIFTY 8th MAY 21300 CE,NIFTY08MAY25C21300,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38445,OPTIDX,PE,21300,NIFTY,NIFTY 8th MAY 21300 PE,NIFTY08MAY25P21300,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38446,OPTIDX,CE,21350,NIFTY,NIFTY 8th MAY 21350 CE,NIFTY08MAY25C21350,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38447,OPTIDX,PE,21350,NIFTY,NIFTY 8th MAY 21350 PE,NIFTY08MAY25P21350,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38448,OPTIDX,CE,21400,NIFTY,NIFTY 8th MAY 21400 CE,NIFTY08MAY25C21400,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38449,OPTIDX,PE,21400,NIFTY,NIFTY 8th MAY 21400 PE,NIFTY08MAY25P21400,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38450,OPTIDX,CE,21450,NIFTY,NIFTY 8th MAY 21450 CE,NIFTY08MAY25C21450,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38451,OPTIDX,PE,21450,NIFTY,NIFTY 8th MAY 21450 PE,NIFTY08MAY25P21450,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38452,OPTIDX,CE,21500,NIFTY,NIFTY 8th MAY 21500 CE,NIFTY08MAY25C21500,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38453,OPTIDX,PE,21500,NIFTY,NIFTY 8th MAY 21500 PE,NIFTY08MAY25P21500,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38454,OPTIDX,CE,21550,NIFTY,NIFTY 8th MAY 21550 CE,NIFTY08MAY25C21550,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38455,OPTIDX,PE,21550,NIFTY,NIFTY 8th MAY 21550 PE,NIFTY08MAY25P21550,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38456,OPTIDX,CE,21600,NIFTY,NIFTY 8th MAY 21600 CE,NIFTY08MAY25C21600,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38457,OPTIDX,PE,21600,NIFTY,NIFTY 8th MAY 21600 PE,NIFTY08MAY25P21600,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38458,OPTIDX,CE,21650,NIFTY,NIFTY 8th MAY 21650 CE,NIFTY08MAY25C21650,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38459,OPTIDX,PE,21650,NIFTY,NIFTY 8th MAY 21650 PE,NIFTY08MAY25P21650,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38460,OPTIDX,CE,21700,NIFTY,NIFTY 8th MAY 21700 CE,NIFTY08MAY25C21700,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38461,OPTIDX,PE,21700,NIFTY,NIFTY 8th MAY 21700 PE,NIFTY08MAY25P21700,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38462,OPTIDX,CE,21750,NIFTY,NIFTY 8th MAY 21750 CE,NIFTY08MAY25C21750,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38463,OPTIDX,PE,21750,NIFTY,NIFTY 8th MAY 21750 PE,NIFTY08MAY25P21750,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38464,OPTIDX,CE,21800,NIFTY,NIFTY 8th MAY 21800 CE,NIFTY08MAY25C21800,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38465,OPTIDX,PE,21800,NIFTY,NIFTY 8th MAY 21800 PE,NIFTY08MAY25P21800,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38466,OPTIDX,CE,21850,NIFTY,NIFTY 8th MAY 21850 CE,NIFTY08MAY25C21850,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38467,OPTIDX,PE,21850,NIFTY,NIFTY 8th MAY 21850 PE,NIFTY08MAY25P21850,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38468,OPTIDX,CE,21900,NIFTY,NIFTY 8th MAY 21900 CE,NIFTY08MAY25C21900,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38469,OPTIDX,PE,21900,NIFTY,NIFTY 8th MAY 21900 PE,NIFTY08MAY25P21900,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38470,OPTIDX,CE,21950,NIFTY,NIFTY 8th MAY 21950 CE,NIFTY08MAY25C21950,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38471,OPTIDX,PE,21950,NIFTY,NIFTY 8th MAY 21950 PE,NIFTY08MAY25P21950,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38472,OPTIDX,CE,22000,NIFTY,NIFTY 8th MAY 22000 CE,NIFTY08MAY25C22000,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38474,OPTIDX,PE,22000,NIFTY,NIFTY 8th MAY 22000 PE,NIFTY08MAY25P22000,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38476,OPTIDX,CE,22050,NIFTY,NIFTY 8th MAY 22050 CE,NIFTY08MAY25C22050,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38477,OPTIDX,PE,22050,NIFTY,NIFTY 8th MAY 22050 PE,NIFTY08MAY25P22050,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38478,OPTIDX,CE,22100,NIFTY,NIFTY 8th MAY 22100 CE,NIFTY08MAY25C22100,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38479,OPTIDX,PE,22100,NIFTY,NIFTY 8th MAY 22100 PE,NIFTY08MAY25P22100,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38480,OPTIDX,CE,22150,NIFTY,NIFTY 8th MAY 22150 CE,NIFTY08MAY25C22150,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38481,OPTIDX,PE,22150,NIFTY,NIFTY 8th MAY 22150 PE,NIFTY08MAY25P22150,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38482,OPTIDX,CE,22200,NIFTY,NIFTY 8th MAY 22200 CE,NIFTY08MAY25C22200,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38483,OPTIDX,PE,22200,NIFTY,NIFTY 8th MAY 22200 PE,NIFTY08MAY25P22200,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38484,OPTIDX,CE,22250,NIFTY,NIFTY 8th MAY 22250 CE,NIFTY08MAY25C22250,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38485,OPTIDX,PE,22250,NIFTY,NIFTY 8th MAY 22250 PE,NIFTY08MAY25P22250,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38486,OPTIDX,CE,22300,NIFTY,NIFTY 8th MAY 22300 CE,NIFTY08MAY25C22300,2025-05-08,75,0.05
NFO,nse_fo,NIFTY,38487,OPTIDX,PE,22300,NIFTY,NIFTY 8th MAY 22300 PE,NIFTY08MAY25P22300,2025-05-08,75,0.05
