Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,5251,OPTCUR,CE,103.5,GBPINR,GBPINR28MAY25C103.5,GBPINR MAY 103.5 CE,2025-05-28,1,0.0025
CDS,cde_fo,GBPINR,5252,OPTCUR,PE,103.5,GBPINR,GBPINR28MAY25P103.5,GBPINR MAY 103.5 PE,2025-05-28,1,0.0025
CDS,cde_fo,GBPINR,5253,OPTCUR,CE,103.75,GBPINR,GBPINR28MAY25C103.75,GBPINR MAY 103.75 CE,2025-05-28,1,0.0025
CDS,cde_fo,GBPINR,5254,OPTCUR,PE,103.75,GBPINR,GBPINR28MAY25P103.75,GBPINR MAY 103.75 PE,2025-05-28,1,0.0025
CDS,cde_fo,JPYINR,5255,OPTCUR,CE,62.75,JPYINR,JPYINR16MAY25C62.75,JPYINR 16th MAY 62.75 CE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5256,OPTCUR,PE,62.75,JPYINR,JPYINR16MAY25P62.75,JPYINR 16th MAY 62.75 PE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5257,OPTCUR,CE,63,JPYINR,JPYINR16MAY25C63,JPYINR 16th MAY 63 CE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5258,OPTCUR,PE,63,JPYINR,JPYINR16MAY25P63,JPYINR 16th MAY 63 PE,2025-05-16,1,0.0025
CDS,cde_fo,GBPINR,5259,OPTCUR,CE,107.5,GBPINR,GBPINR27MAR26C107.5,GBPINR 27th MAR26 107.5 CE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5260,OPTCUR,PE,107.5,GBPINR,GBPINR27MAR26P107.5,GBPINR 27th MAR26 107.5 PE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5261,OPTCUR,CE,104,GBPINR,GBPINR28MAY25C104,GBPINR MAY 104 CE,2025-05-28,1,0.0025
CDS,cde_fo,JPYINR,5262,OPTCUR,CE,57,JPYINR,JPYINR09MAY25C57,JPYINR 9th MAY 57 CE,2025-05-09,1,0.0025
CDS,cde_fo,GBPINR,5263,OPTCUR,CE,107.75,GBPINR,GBPINR27MAR26C107.75,GBPINR 27th MAR26 107.75 CE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5264,OPTCUR,PE,116,GBPINR,GBPINR13JUN25P116,GBPINR 13th JUN 116 PE,2025-06-13,1,0.0025
CDS,cde_fo,EURINR,5265,OPTCUR,PE,93.5,EURINR,EURINR20JUN25P93.5,EURINR 20th JUN 93.5 PE,2025-06-20,1,0.0025
CDS,cde_fo,EURINR,5266,OPTCUR,CE,93.75,EURINR,EURINR20JUN25C93.75,EURINR 20th JUN 93.75 CE,2025-06-20,1,0.0025
CDS,cde_fo,GBPINR,5269,OPTCUR,PE,107.75,GBPINR,GBPINR27MAR26P107.75,GBPINR 27th MAR26 107.75 PE,2026-03-27,1,0.0025
