Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,ARTNIRMAN,205945,E,ART NIRMAN LIMITED,ARTNIRMAN,1,0.01,ARTNIRMAN
BSE,bse_cm,FELIX,206059,E,FELIX INDUSTRIES LTD.,FELIX,500,0.05,FELIX
BSE,bse_cm,SHANTI,206158,E,SHANTI OVERSEAS INDIA LTD,SHANTI,1,0.01,SHANTI
BSE,bse_cm,ACCORD,206183,E,ACCORD SYNERGY LIMITED,ACCORD,2000,0.05,ACCORD
BSE,bse_cm,ASLIND,206195,E,ASL INDUSTRIES LIMITED,ASLIND,2000,0.05,ASLIND
BSE,bse_cm,LEXUS,206238,E,LEXUS GRANITO (INDIA) LTD,LEXUS,1,0.01,LEXUS
BSE,bse_cm,AHIMSA,206241,E,AHIMSA INDUSTRIES LTD.,AHIMSA,3000,0.05,AHIMSA
BSE,bse_cm,SHIVAUM,206521,E,SHIV AUM STEELS LIMITED,SHIVAUM,500,0.05,SHIVAUM
BSE,bse_cm,GOLDKART,206531,E,GOLDKART JEWELS LIMITED,GOLDKART,625,0.05,GOLDKART
BSE,bse_cm,ASCOM,206558,E,ASCOM LEASIN & INVEST LTD,ASCOM,500,0.05,ASCOM
BSE,bse_cm,LGHL,206778,E,LAXMI GOLDORNA HOUSE LTD,LGHL,1,0.05,LGHL
BSE,bse_cm,SHRENIK,207416,E,SHRENIK LIMITED,SHRENIK,1,0.01,SHRENIK
BSE,bse_cm,MARINE,207697,E,MARINE ELECTRICAL (I) LTD,MARINE,1,0.01,MARINE
BSE,bse_cm,PARTYCRUS,207734,E,PARTY CRUISERS LIMITED,PARTYCRUS,1000,0.05,PARTYCRUS
BSE,bse_cm,SIDDHIKA,207819,E,SIDDHIKA COATINGS LIMITED,SIDDHIKA,1000,0.05,SIDDHIKA
BSE,bse_cm,AILIMITED,208056,E,ABHISHEK INTEGRATIONS LTD,AILIMITED,1500,0.05,AILIMITED
BSE,bse_cm,WALPAR,208105,E,WALPAR NUTRITIONS LIMITED,WALPAR,2000,0.05,WALPAR
BSE,bse_cm,MOKSH,208106,E,MOKSH ORNAMENTS LIMITED,MOKSH,1,0.01,MOKSH
BSE,bse_cm,GLOBE,208134,E,GLOBE TEXTILES (I) LTD.,GLOBE,1,0.01,GLOBE
BSE,bse_cm,REXPIPES,208145,E,REX PIPES AND CABLES LTD,REXPIPES,2000,0.05,REXPIPES
BSE,bse_cm,NPST,208146,E,NETWORK PEOPLE SRV TECH L,NPST,50,0.05,NPST
BSE,bse_cm,ABMINTLLTD,208186,E,ABM INTERNATIONAL LTD,ABMINTLLTD,1,0.01,ABMINTLLTD
BSE,bse_cm,GANGAFORGE,208199,E,GANGA FORGING LIMITED,GANGAFORGE,1,0.01,GANGAFORGE
BSE,bse_cm,BEWLTD,208204,E,BEW ENGINEERING LIMITED,BEWLTD,500,0.05,BEWLTD
BSE,bse_cm,QUADPRO,208232,E,QUADPRO ITES LIMITED,QUADPRO,12000,0.05,QUADPRO
BSE,bse_cm,JAINAM,208299,E,JAINAM FER ALLOYS (I) LTD,JAINAM,1000,0.05,JAINAM
BSE,bse_cm,BMETRICS,208301,E,BOMBAY METRICS S C LTD,BMETRICS,800,0.05,BMETRICS
BSE,bse_cm,DESTINY,208303,E,DESTINY LOGISTICS & I LTD,DESTINY,1500,0.05,DESTINY
BSE,bse_cm,DKEGL,208318,E,D K ENTERPRISES GLOBAL L,DKEGL,1500,0.05,DKEGL
BSE,bse_cm,KOTYARK,208339,E,KOTYARK INDUSTRIES LTD,KOTYARK,100,0.05,KOTYARK
BSE,bse_cm,NIDAN,208362,E,NIDAN LABS AND HEALTH LTD,NIDAN,1000,0.05,NIDAN
BSE,bse_cm,NRL,208409,E,NUPUR RECYCLERS LIMITED,NRL,1,0.01,NRL
BSE,bse_cm,EUROBOND,208418,E,EURO PANEL PRODUCTS LTD,EUROBOND,1000,0.05,EUROBOND
BSE,bse_cm,FOCE,208419,E,FOCE INDIA LIMITED,FOCE,100,0.05,FOCE
BSE,bse_cm,VIVO,208433,E,VIVO COLLAB SOLUTIONS LTD,VIVO,1600,0.05,VIVO
BSE,bse_cm,ABCOTS,208474,E,A B COTSPIN INDIA LIMITED,ABCOTS,500,0.05,ABCOTS
BSE,bse_cm,TIMESCAN,208475,E,TIMESCAN LOGISTICS IND L,TIMESCAN,2000,0.05,TIMESCAN
BSE,bse_cm,ONEPOINT,208502,E,ONE POINT ONE SOL LTD,ONEPOINT,1,0.01,ONEPOINT
BSE,bse_cm,PRECISION,208528,E,PRECISION METALIKS LTD,PRECISION,2000,0.05,PRECISION
BSE,bse_cm,AAKASH,208537,E,AAKASH EXPLORATION SER L,AAKASH,1,0.01,AAKASH
BSE,bse_cm,RICHA,208561,E,RICHA INFO SYSTEMS LTD,RICHA,1000,0.05,RICHA
BSE,bse_cm,MADHAVBAUG,208578,E,VAIDYA SANE AYUR LAB LTD,MADHAVBAUG,400,0.05,MADHAVBAUG
BSE,bse_cm,SUPREMEENG,208600,E,SUPREME ENGINEERING LTD,SUPREMEENG,1,0.01,SUPREMEENG
BSE,bse_cm,SHIGAN,208611,E,SHIGAN QUANTUM TECH LTD,SHIGAN,1500,0.05,SHIGAN
BSE,bse_cm,SPRL,208626,E,SP REFRACTORIES LIMITED,SPRL,800,0.05,SPRL
BSE,bse_cm,COOLCAPS,208628,E,COOL CAPS INDUSTRIES LTD,COOLCAPS,250,0.05,COOLCAPS
BSE,bse_cm,SWARAJ,208661,E,SWARAJ SUITING LIMITED,SWARAJ,500,0.05,SWARAJ
BSE,bse_cm,KNAGRI,208662,E,KN AGRI RESOURCES LIMITED,KNAGRI,400,0.05,KNAGRI
BSE,bse_cm,KRISHIVAL,208699,E,KRISHIVAL FOODS LIMITED,KRISHIVAL,500,0.05,KRISHIVAL
